Reference,publised_year,Species
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasyprocta sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasyprocta sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Cuniculus paca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Cuniculus paca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Chaetomys subspinosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Chaetomys subspinosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Coendou insidiosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Coendou insidiosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Guerlinguetus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Sylvilagus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Sylvilagus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Eira barbara
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Eira barbara
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Galictis sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Lontra longicaudis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Lontra longicaudis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Leopardus pardalis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Leopardus pardalis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Leopardus sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Herpailurus yagouaroundi
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Herpailurus yagouaroundi
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Panthera onca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Puma concolor
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Puma concolor
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Tamandua tetradactyla
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Tamandua tetradactyla
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Bradypus torquatus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Bradypus torquatus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Bradypus variegatus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Pecari tajacu
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Pecari tajacu
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Tayassu pecari
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama americana
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama americana
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama gouazoubira
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama gouazoubira
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Hydrochoerus hydrochaeris
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Hydrochoerus hydrochaeris
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasyprocta sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasyprocta sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Cuniculus paca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Cuniculus paca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Chaetomys subspinosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Chaetomys subspinosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Coendou insidiosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Coendou insidiosus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Guerlinguetus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Guerlinguetus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Sylvilagus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Sylvilagus brasiliensis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Panthera onca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Bradypus variegatus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasypus septemcinctus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama americana
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Eira barbara
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Galictis sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Lontra longicaudis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Leopardus pardalis
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Leopardus sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Herpailurus yagouaroundi
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Panthera onca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Puma concolor
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Tamandua tetradactyla
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasypus septemcinctus
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Pecari tajacu
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama americana
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Mazama gouazoubira
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Hydrochoerus hydrochaeris
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Dasyprocta sp.
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Cuniculus paca
"Moura, R. T. (2003). Distribuicao e ocorrencia de mamiferos na Mata Atlantica do sul da Bahia. In: Prado P.I., Landau E.C., Moura R.T., Pinto L.P.S., Fonseca G.A.B., Alger K.N. (orgs.) Corredor de Biodiversidade da Mata Atlantica do Sul da Bahia. Publicacao em CD-ROM, Ilheus, IESB / CI / CABS / UFMG / UNICAMP.",2003,Chaetomys subspinosus
